,symbol,companyid
371,ASC-USD-STK,139764409
372,ASCB-USD-STK,1681424113
373,ASG-USD-STK,3590559
374,ASGN-USD-STK,32410
375,ASH-USD-STK,252339
376,ASHR-USD-STK,232556165
377,ASIX-USD-STK,337702440
378,ASLE-USD-STK,84236826
379,ASO-USD-STK,136801693
380,ASPL-USD-STK,686970802
381,ASPN-USD-STK,3044099
382,ASRT-USD-STK,363049
383,ASTE-USD-STK,251951
384,ASTI-USD-STK,25599554
385,ASTL-USD-STK,381324
386,ASTR-USD-STK,662515684
387,ASTS-USD-STK,557143394
388,ASXC-USD-STK,40983088
389,ASZ-USD-STK,703894890
390,ATAI-USD-STK,710359021
391,ATAK-USD-STK,1762097644
392,ATC-USD-STK,651108595
393,ATCO-USD-STK,23181614
394,ATCX-USD-STK,545425084
395,ATEC-USD-STK,21766771
396,ATEK-USD-STK,1686931271
397,ATEN-USD-STK,24734352
398,ATER-USD-STK,378817337
399,ATEX-USD-STK,26792143
400,ATGE-USD-STK,27536
401,ATH-USD-STK,109766996
402,ATHA-USD-STK,266015004
403,ATHN-USD-STK,700877566
404,ATHX-USD-STK,25192
405,ATI-USD-STK,348893
406,ATIP-USD-STK,27817717
407,ATKR-USD-STK,26325966
408,ATLC-USD-STK,400461
409,ATMR-USD-STK,701804409
410,ATNI-USD-STK,319384
411,ATNM-USD-STK,7845787
412,ATNX-USD-STK,23828956
413,ATO-USD-STK,252684
414,ATOM-USD-STK,39088201
415,ATOS-USD-STK,100256926
416,ATR-USD-STK,326230
417,ATRA-USD-STK,248196818
418,ATRC-USD-STK,901985
419,ATRI-USD-STK,168945
420,ATRO-USD-STK,252033
421,ATRS-USD-STK,764293
422,ATSG-USD-STK,3545047
423,ATUS-USD-STK,25933
424,ATVI-USD-STK,4222231
425,ATXG-USD-STK,414594912
426,ATXS-USD-STK,100802824
427,AUB-USD-STK,361216
428,AUD-USD-STK,395750
429,AUDC-USD-STK,25238
430,AUPH-USD-STK,882669
431,AUR-USD-STK,424226705
432,AURA-USD-STK,100249028
433,AURC-USD-STK,699780158
434,AUS-USD-STK,703897944
435,AVA-USD-STK,100918
436,AVAC-USD-STK,703612241
